"","Acc_Index","Vehicle_Reference","Casualty_Reference","Casualty_Class","Sex_of_Casualty","Age_Band_of_Casualty","Casualty_Severity","Pedestrian_Location","Pedestrian_Movement","Car_Passenger","Bus_or_Coach_Passenger","Pedestrian_Road_Maintenance_Worker","Casualty_Type","Casualty_Home_Area_Type"
"20587","201001TW60297",1,1,1,1,7,3,0,0,0,0,-1,5,2
"20588","201001TW60298",2,1,1,1,7,3,0,0,0,0,-1,1,1
"20589","201001TW60299",1,1,1,1,3,3,0,0,0,0,-1,1,1
"20590","201001TW60300",1,1,2,2,4,3,0,0,1,0,-1,9,1
"20591","201001TW60301",1,1,1,1,7,3,0,0,0,0,-1,5,-1
"20592","201001TW60302",1,1,1,1,4,3,0,0,0,0,-1,9,1
"20593","201001TW60303",1,1,3,2,5,3,1,3,0,0,-1,0,1
"20594","201001TW60304",1,1,3,1,9,3,5,1,0,0,-1,0,1
"20595","201001TW60305",1,1,1,1,7,3,0,0,0,0,-1,1,1
"20596","201001TW60306",1,1,1,2,4,3,0,0,0,0,-1,9,1
"20597","201001TW60307",1,1,1,1,6,3,0,0,0,0,-1,9,1
"20598","201001TW60308",2,1,1,2,7,3,0,0,0,0,-1,9,1
"20599","201001TW60309",2,1,1,1,9,3,0,0,0,0,-1,1,1
"20600","201001TW60310",2,1,1,1,5,3,0,0,0,0,-1,3,1
"20601","201001TW60311",2,1,1,2,6,3,0,0,0,0,-1,1,1
"20602","201001TW60312",1,1,3,2,8,3,6,9,0,0,-1,0,1
"20603","201001TW60313",1,1,1,1,4,3,0,0,0,0,-1,5,1
"20604","201001TW60314",2,1,1,1,7,3,0,0,0,0,-1,5,1
"20605","201001TW60316",1,1,1,1,7,3,0,0,0,0,-1,9,1
"20606","201001TW60317",1,1,1,1,6,3,0,0,0,0,-1,5,1
"20607","201001TW60318",2,1,1,1,8,3,0,0,0,0,-1,1,1
"20608","201001TW60320",2,1,1,1,7,3,0,0,0,0,-1,1,1
"20609","201001TW60321",1,1,3,1,7,3,9,9,0,0,-1,0,1
"20610","201001TW60324",1,1,3,2,8,3,5,1,0,0,-1,0,1
"20611","201001TW60325",1,1,1,1,6,3,0,0,0,0,-1,5,1
"20612","201001TW60326",1,1,1,1,7,3,0,0,0,0,-1,5,1
"20613","201001TW60326",1,2,3,1,3,2,4,3,0,0,-1,0,1
"20614","201001TW60327",1,1,1,2,8,2,0,0,0,0,-1,9,1
"20615","201001TW60328",2,1,1,2,4,2,0,0,0,0,-1,1,1
"20616","201001TW60330",1,1,2,1,9,3,0,0,0,2,-1,11,1
"20617","201001TW60331",1,1,1,2,6,3,0,0,0,0,-1,1,1
"20618","201001TW60333",1,1,1,1,6,3,0,0,0,0,-1,1,1
"20619","201001TW60335",1,1,1,1,9,3,0,0,0,0,-1,1,1
"20620","201001TW60336",2,1,1,1,6,3,0,0,0,0,-1,5,1
"20621","201001TW60337",2,1,1,2,5,3,0,0,0,0,-1,9,1
"20622","201001TW60338",2,1,1,1,5,3,0,0,0,0,-1,3,1
"20623","201001TW60339",1,1,1,1,7,3,0,0,0,0,-1,9,1
"20624","201001TW60340",1,1,1,1,4,3,0,0,0,0,-1,3,1
"20625","201001TW60341",1,1,1,1,11,3,0,0,0,0,-1,9,1
"20626","201001TW60342",1,1,2,2,11,2,0,0,0,4,-1,11,1
"20627","201001TW60343",2,1,1,1,8,2,0,0,0,0,-1,1,1
"20628","201001TW60344",2,1,1,1,5,2,0,0,0,0,-1,3,-1
"20629","201001TW60345",2,1,1,1,5,3,0,0,0,0,-1,1,-1
"20630","201001TW60347",1,1,1,2,6,3,0,0,0,0,-1,1,1
"20631","201001TW60348",1,1,1,2,8,3,0,0,0,0,-1,9,1
"20632","201001TW60349",1,1,1,1,6,3,0,0,0,0,-1,19,1
"20633","201001TW60350",1,1,1,2,4,3,0,0,0,0,-1,9,1
"20634","201001TW60350",1,2,2,2,8,3,0,0,1,0,-1,9,1
"20635","201001TW60352",1,1,1,1,7,3,0,0,0,0,-1,9,1
"20636","201001TW60353",1,1,1,1,6,3,0,0,0,0,-1,3,1
"20637","201001TW60354",3,1,1,1,7,3,0,0,0,0,-1,1,1
"20638","201001TW60355",1,1,1,1,5,3,0,0,0,0,-1,3,1
"20639","201001TW60356",2,1,1,1,5,3,0,0,0,0,-1,9,1
"20640","201001TW60356",2,2,2,2,5,3,0,0,1,0,-1,9,1
"20641","201001TW60357",2,1,1,1,-1,3,0,0,0,0,-1,9,1
"20642","201001TW60359",1,1,1,2,5,3,0,0,0,0,-1,9,1
"20643","201001TW60359",1,2,2,2,1,3,0,0,2,0,-1,9,1
"20644","201001TW60360",1,1,1,1,5,3,0,0,0,0,-1,3,1
"20645","201001TW60361",1,1,1,2,8,3,0,0,0,0,-1,9,1
"20646","201001TW60361",2,2,1,1,7,3,0,0,0,0,-1,5,-1
"20647","201001TW60361",2,3,2,2,4,3,0,0,0,0,-1,5,-1
"20648","201001TW60362",2,1,1,1,4,3,0,0,0,0,-1,3,1
"20649","201001TW60363",1,1,2,2,2,3,0,0,1,0,-1,9,1
"20650","201001TW60364",1,1,1,1,6,3,0,0,0,0,-1,1,1
"20651","201001TW60365",2,1,1,1,7,2,0,0,0,0,-1,1,1
"20652","201001TW60366",1,1,1,1,6,3,0,0,0,0,-1,2,1
"20653","201001TW60367",1,1,3,1,3,3,4,3,0,0,-1,0,1
"20654","201001TW60368",2,1,1,1,4,3,0,0,0,0,-1,3,1
"20655","201001TW60369",1,1,1,2,6,3,0,0,0,0,-1,5,1
"20656","201001TW60371",2,1,1,1,5,3,0,0,0,0,-1,1,-1
"20657","201001TW60372",2,1,1,1,5,3,0,0,0,0,-1,2,1
"20658","201001TW60373",1,1,1,2,11,3,0,0,0,0,-1,9,1
"20659","201001TW60374",1,1,3,2,8,3,5,3,0,0,-1,0,1
"20660","201001TW60375",1,1,3,1,10,3,10,1,0,0,-1,0,1
"20661","201001TW60376",1,1,3,2,1,3,5,3,0,0,-1,0,1
"20662","201001TW60377",1,1,2,2,8,3,0,0,0,4,-1,11,1
"20663","201001TW60378",1,1,1,2,6,3,0,0,0,0,-1,9,1
"20664","201001TW60378",1,2,2,2,-1,3,0,0,1,0,-1,9,1
"20665","201001TW60379",1,1,1,2,7,3,0,0,0,0,-1,9,1
"20666","201001TW60381",2,1,1,1,5,3,0,0,0,0,-1,2,1
"20667","201001TW60382",2,1,1,2,6,3,0,0,0,0,-1,1,1
"20668","201001TW60383",1,1,1,2,5,3,0,0,0,0,-1,9,1
"20669","201001TW60384",1,1,3,2,7,3,1,1,0,0,-1,0,1
"20670","201001TW60385",1,1,1,1,5,3,0,0,0,0,-1,3,1
"20671","201001TW60386",2,1,1,1,6,3,0,0,0,0,-1,2,1
"20672","201001TW60387",2,1,2,2,9,3,0,0,2,0,-1,9,1
"20673","201001TW60387",3,2,1,1,6,3,0,0,0,0,-1,9,1
"20674","201001TW60388",2,1,1,1,7,3,0,0,0,0,-1,1,1
"20675","201001TW60389",1,1,2,1,2,3,0,0,2,0,-1,9,1
"20676","201001TW60389",2,2,1,1,8,3,0,0,0,0,-1,90,1
"20677","201001TW60391",2,1,1,1,6,3,0,0,0,0,-1,3,1
"20678","201001TW60392",1,1,3,2,3,3,1,1,0,0,-1,0,1
"20679","201001TW60393",1,1,1,2,10,3,0,0,0,0,-1,9,1
"20680","201001TW60394",1,1,3,1,7,3,5,1,0,0,-1,0,1
"20681","201001TW60395",1,1,3,2,9,3,4,3,0,0,-1,0,1
"20682","201001TW60397",1,1,1,1,3,3,0,0,0,0,-1,1,1
"20683","201001TW60399",1,1,3,2,8,3,5,1,0,0,-1,0,1
"20684","201001TW60401",1,1,2,2,6,3,0,0,1,0,-1,9,1
"20685","201001TW60402",1,1,1,1,7,3,0,0,0,0,-1,3,1
"20686","201001TW60403",1,1,1,1,6,3,0,0,0,0,-1,3,1
"20687","201001TW60406",1,1,1,2,4,3,0,0,0,0,-1,2,1
"20688","201001TW60407",1,1,2,2,11,3,0,0,1,0,-1,9,1
"20689","201001TW60408",1,1,1,1,4,3,0,0,0,0,-1,2,1
"20690","201001TW60409",1,1,2,1,6,2,0,0,0,3,-1,11,-1
"20691","201001TW60410",1,1,1,1,8,3,0,0,0,0,-1,5,1
"20692","201001TW60412",1,1,1,1,6,3,0,0,0,0,-1,3,1
"20693","201001TW60413",1,1,1,2,8,3,0,0,0,0,-1,9,1
"20694","201001TW60414",1,1,1,2,6,3,0,0,0,0,-1,9,1
"20695","201001TW60414",2,2,1,2,9,3,0,0,0,0,-1,9,1
