"","Acc_Index","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location.Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","X1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_.CC.","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type"
"1265","201001CP00037",2,11,0,14,0,0,0,0,0,0,4,1,1,1,5,6370,2,1,-1,-1
"1266","201001CP00038",1,1,0,18,4,8,0,0,0,0,1,1,15,1,5,-1,-1,-1,2,1
"1267","201001CP00038",2,21,1,7,0,8,0,0,0,0,4,1,15,1,7,4461,2,2,2,1
"1268","201001CP00039",1,8,0,9,0,6,0,0,0,0,4,1,1,1,6,1995,2,5,1,1
"1269","201001CP00039",2,1,0,15,2,8,0,0,0,0,1,1,2,1,6,-1,-1,-1,1,1
"1270","201001CP00041",1,8,0,4,0,0,0,0,0,0,2,1,1,1,10,2664,2,14,2,1
"1271","201001CP00041",2,3,0,18,0,0,0,0,0,0,1,1,1,1,7,125,1,4,4,1
"1272","201001CP00042",1,21,0,5,0,1,0,0,0,0,1,1,1,1,7,12130,2,9,3,1
"1273","201001CP00042",2,3,0,3,0,1,0,0,0,0,4,1,2,1,7,124,1,10,7,1
"1274","201001CP00043",1,11,0,18,0,1,0,0,0,0,1,1,1,1,9,6700,2,1,2,1
"1275","201001CP00044",1,9,0,3,0,1,0,0,0,0,1,1,15,1,8,1598,1,5,2,1
"1276","201001CP00044",2,19,0,1,0,1,0,0,0,0,2,1,15,1,-1,2402,2,10,3,1
"1277","201001CP00045",1,11,0,18,0,2,0,0,0,0,4,1,15,1,9,11000,2,6,3,1
"1280","201001CP00047",1,1,0,18,0,2,0,0,0,0,3,1,15,1,-1,-1,-1,-1,6,1
"1281","201001CP00047",2,8,0,18,0,2,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1
"1282","201001CP00048",1,21,0,18,0,1,0,0,0,0,3,1,15,3,-1,-1,-1,-1,-1,-1
"1283","201001CP00049",1,11,0,4,0,1,0,0,0,0,0,1,1,1,8,6370,2,5,1,1
"1284","201001CP00050",1,1,0,18,0,8,0,0,0,0,1,1,2,1,7,-1,-1,-1,4,1
"1285","201001CP00051",1,8,0,5,0,0,0,0,0,0,3,1,1,1,9,2664,2,13,1,1
"1286","201001CP00051",2,1,0,18,0,0,0,0,0,0,4,1,1,1,6,-1,-1,-1,3,1
"1287","201001CP00052",1,5,0,18,0,1,0,0,0,0,3,1,15,1,8,1170,1,2,4,1
"1288","201001CP00052",2,1,0,18,0,1,0,0,0,0,4,1,15,1,-1,-1,-1,-1,-1,-1
"1289","201001CP00053",1,19,0,5,0,8,0,0,0,0,4,1,15,1,7,-1,-1,-1,3,1
"1290","201001CP00053",2,1,0,5,0,8,0,0,0,0,3,1,15,2,6,-1,-1,-1,1,1
"1291","201001CP00054",1,2,0,18,0,1,0,0,0,0,1,1,15,1,6,49,1,7,1,1
"1292","201001CP00054",2,8,0,6,0,1,0,0,0,0,4,1,15,1,-1,2664,2,10,9,1
"1293","201001CP00055",1,20,0,18,0,1,0,11,0,0,4,1,15,1,7,-1,-1,-1,7,1
"1294","201001CP00056",1,5,0,3,0,2,0,0,0,0,3,1,2,1,7,599,1,9,6,1
"1295","201001CP00056",2,9,0,11,0,2,0,0,0,0,4,1,15,3,-1,3600,1,3,-1,-1
"1296","201001CP00057",1,1,0,18,5,1,0,0,0,0,0,1,15,1,6,-1,-1,-1,2,1
"1297","201001CP00058",1,8,0,18,0,6,0,0,0,0,1,1,1,1,8,1896,2,3,3,1
