"","Acc_Index","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location.Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","X1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_.CC.","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type"
"42711","201101ZD30973",2,9,0,18,0,8,0,0,0,0,1,1,6,1,6,1388,1,8,3,1
"42712","201101ZD30974",1,9,0,1,0,0,0,0,0,0,2,1,6,2,11,1339,1,2,9,1
"42713","201101ZD30974",2,9,0,3,0,0,0,0,0,0,1,1,6,1,-1,1794,1,9,8,1
"42714","201101ZD30975",1,19,0,9,0,5,0,0,0,0,0,1,6,1,-1,2151,2,7,5,1
"42715","201101ZD30975",2,2,0,18,0,8,0,0,0,0,0,1,6,1,7,49,1,11,2,1
"42716","201101ZD30976",1,9,0,18,0,8,0,0,0,0,3,1,6,2,8,1299,1,12,7,1
"42717","201101ZD30976",2,19,0,9,0,6,0,0,0,0,1,1,6,1,7,2198,2,4,-1,-1
"42718","201101ZD30976",3,9,0,3,0,1,0,0,0,0,4,1,6,1,9,1587,1,6,10,1
"42719","201101ZD30979",1,9,0,18,0,8,0,0,0,0,3,1,1,1,8,796,1,11,-1,-1
"42720","201101ZD30979",2,9,0,18,0,8,0,0,0,0,1,1,6,2,5,1229,1,2,-1,-1
"42721","201101ZD30979",3,9,0,18,0,8,0,0,0,0,4,1,1,2,7,1996,1,14,3,1
"42722","201101ZD30980",1,19,0,3,0,0,0,0,0,0,2,1,6,1,7,2402,2,6,9,1
"42723","201101ZD30980",2,9,0,4,0,0,1,0,0,0,1,1,6,1,7,1590,1,9,2,1
"42724","201101ZD30981",1,9,0,6,0,8,0,0,0,0,4,1,6,1,10,1731,1,14,3,1
"42725","201101ZD30981",2,5,0,15,0,8,1,10,1,0,1,1,6,1,6,1050,1,4,5,1
"42726","201101ZD30982",1,19,0,7,0,5,0,0,0,0,1,1,6,1,-1,2261,1,4,-1,-1
"42727","201101ZD30983",1,9,0,2,0,0,0,0,0,0,3,1,6,2,8,1796,1,10,6,1
"42728","201101ZD30983",2,11,0,14,0,0,0,4,0,0,4,1,1,1,-1,-1,-1,-1,-1,-1
"42729","201101ZD30984",1,9,0,4,0,8,0,0,0,0,1,1,6,1,5,1396,1,9,7,1
"42730","201101ZD30984",2,1,0,18,0,6,0,0,0,0,3,1,6,1,6,-1,-1,-1,-1,-1
"42731","201101ZD30985",1,11,0,5,0,8,0,0,0,0,0,1,1,1,6,9000,2,2,1,1
"427321","201101ZD30987",1,9,0,18,0,8,0,0,0,0,3,1,6,1,6,1870,2,10,3,1
"427331","201101ZD30987",2,9,0,9,0,8,0,0,0,0,1,1,6,2,-1,1796,1,8,-1,-1
"42734","201101ZD30988",1,3,0,14,0,8,0,0,0,0,1,1,6,1,4,-1,-1,-1,2,1
"42735","201101ZD30988",2,9,0,9,0,6,0,0,0,0,1,1,6,1,8,1997,2,10,6,1
"42736","201101ZD30990",1,9,0,18,0,2,0,0,0,0,4,1,3,2,7,1242,1,10,5,1
"42737","201101ZD30994",1,9,0,18,0,2,0,0,0,0,1,1,6,1,4,1560,2,-1,2,1
"42738","201101ZD30994",2,9,0,4,0,2,0,0,0,0,2,1,6,1,6,2000,1,17,4,1
"42741","201101ZD30996",1,9,0,4,0,1,0,0,0,0,2,1,6,1,6,2204,2,5,4,1
"42742","201101ZD30996",2,9,0,18,0,1,0,0,0,0,1,1,6,1,6,698,1,7,4,1
"42743","201101ZD30997",1,9,0,5,0,6,0,0,0,0,1,1,6,1,-1,2496,2,6,-1,-1
"42744","201101ZD30998",1,8,0,18,0,8,0,0,0,0,1,1,1,1,-1,-1,-1,-1,3,1
"42745","201101ZD30998",2,9,0,5,0,6,0,0,0,0,4,1,6,1,-1,1999,1,10,-1,-1
"42746","201101ZD30999",1,9,0,9,0,5,0,0,0,0,4,1,2,2,5,1598,1,3,-1,-1
"42747","201101ZD31000",1,5,0,18,0,8,0,0,0,0,1,1,6,1,4,599,1,6,-1,-1
"42748","201101ZD31000",2,9,0,9,0,6,0,0,0,0,1,1,6,1,10,1398,1,-1,-1,-1
"42749","201101ZD31003",1,9,0,3,0,1,0,0,0,0,1,1,6,2,5,2521,1,4,5,1
"42750","201101ZD31003",2,19,0,1,0,2,0,0,0,0,2,1,6,1,-1,1870,2,12,9,1
"42753","201101ZD31006",1,11,0,4,0,0,0,0,0,0,1,1,1,1,-1,9200,2,8,3,1
"42754","201101ZD31007",1,9,0,16,0,8,0,0,0,0,3,1,6,2,6,1198,1,1,2,1
"42755","201101ZD31007",2,8,0,7,0,5,0,0,0,0,4,1,6,1,-1,1598,2,-1,-1,-1
"42756","201101ZD31008",1,9,0,5,0,1,0,0,0,0,1,1,6,1,-1,1796,1,12,-1,-1
"42757","201101ZD31009",1,9,0,9,0,8,0,0,0,0,3,1,6,1,6,1968,2,1,-1,-1
"42758","201101ZD31009",2,3,0,4,0,8,0,0,0,0,1,1,6,1,7,85,1,16,3,1
"42759","201101ZD31011",1,9,0,18,0,0,0,0,0,0,1,1,2,1,-1,1497,8,3,-1,-1
"42760","201101ZD31012",1,3,0,4,0,8,1,0,0,0,0,1,6,1,5,-1,-1,-1,7,1
"42761","201101ZD31014",1,9,0,9,0,8,0,0,7,10,4,1,6,2,4,1391,1,11,2,1
"42762","201101ZD31014",2,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
"42763","201101ZD31015",1,9,0,18,0,0,0,0,0,0,1,1,6,1,8,1985,1,12,7,1
"42764","201101ZD31015",2,9,0,4,0,0,0,0,0,0,2,1,6,1,-1,-1,-1,-1,5,1
"42765","201101ZD31016",1,9,0,5,0,1,0,0,0,0,1,1,6,2,6,1390,1,1,4,1
"42766","201101ZD31016",2,9,0,3,0,1,0,0,0,0,2,1,6,1,8,1598,1,10,3,1
"42767","201101ZD31017",1,1,0,18,0,2,0,0,0,0,2,1,2,1,6,-1,-1,-1,9,1
"42768","201101ZD31017",2,9,0,18,0,2,1,0,0,0,1,1,6,2,-1,1587,1,4,-1,-1
"42769","201101ZD31027",1,9,0,18,0,6,0,0,0,0,1,1,1,2,-1,998,1,9,6,1
"42770","201101ZD31027",2,3,0,15,0,8,0,0,0,0,3,1,1,1,9,125,1,2,8,1
"42771","201101ZD31029",1,9,0,18,0,1,0,0,0,0,1,1,6,1,7,-1,-1,-1,4,2
"42772","201101ZD31029",2,9,0,4,0,1,0,0,0,0,2,1,6,1,7,-1,-1,-1,1,1
"42773","201101ZD31031",1,9,0,3,0,1,0,0,0,0,2,1,6,1,7,1796,1,9,3,1
"42774","201101ZD31031",2,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
"42775","201101ZD31034",1,8,0,18,0,8,0,0,0,0,4,1,6,1,7,1794,1,10,4,1
"42776","201101ZD31034",2,9,0,7,0,8,0,0,0,0,1,1,6,2,-1,1598,1,6,-1,-1
"42777","201101ZD31036",1,9,0,9,0,6,0,0,0,0,3,1,6,2,4,1299,1,10,6,1
"42778","201101ZD31036",2,9,0,18,0,8,0,0,0,0,1,1,6,1,7,1390,1,17,4,1
"42779","201101ZD31037",1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
"42780","201101ZD31037",2,1,0,18,0,6,0,0,0,0,4,1,6,1,5,-1,-1,-1,3,1
"42781","201101ZD31038",1,19,0,9,0,8,0,0,0,0,1,1,2,1,6,1870,2,8,4,1
"42782","201101ZD31038",2,4,0,18,0,8,0,0,0,0,1,1,2,1,-1,233,1,15,5,1
"42783","201101ZD31039",1,8,0,5,0,8,0,0,0,0,1,1,1,1,-1,1598,1,6,-1,-1
"42784","201101ZD31039",2,3,0,18,0,8,1,0,0,0,1,1,1,1,5,49,1,3,-1,-1
"42785","201101ZD31059",1,21,1,5,0,1,0,0,0,0,4,1,1,1,7,9364,2,6,10,1
"42786","201101ZD31059",2,9,0,5,0,1,0,0,0,0,3,1,6,2,7,1299,1,10,3,1
"42787","201101ZD31065",1,9,0,9,0,6,0,0,0,0,3,1,6,2,6,1796,1,4,5,1
"42788","201101ZD31068",1,9,0,18,0,8,0,0,0,0,4,1,6,2,10,1840,1,12,9,1
"42789","201101ZD31068",2,9,0,9,0,6,0,0,0,0,1,1,6,2,5,998,1,1,4,1
"42790","201101ZD31069",1,9,0,9,0,6,0,0,0,0,1,1,6,1,6,1598,1,13,-1,-1
"42791","201101ZD31069",2,9,0,9,0,6,0,0,0,0,1,1,6,2,-1,1596,1,10,1,1
"42792","201101ZD31070",1,9,0,18,0,1,0,0,0,0,3,1,6,1,8,2180,2,17,3,1
"42793","201101ZD39053",1,9,0,9,0,2,0,0,0,0,1,1,6,1,8,1598,1,1,5,1
"42794","201101ZD39061",1,9,0,18,0,0,0,10,7,4,1,1,6,1,6,1390,1,1,4,1
"42795","201101ZD39070",1,9,0,2,0,0,0,0,0,0,3,1,6,1,10,1910,2,4,8,1
"42796","201101ZD39070",2,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,1997,2,9,-1,-1
"42841","201101ZT80020",1,9,0,18,0,0,0,4,0,0,1,1,6,1,7,4163,1,2,9,1
"42842","201101ZT80020",2,9,0,2,0,0,0,0,0,0,3,1,6,2,6,1598,1,2,6,1
"42843","201101ZT80020",3,9,0,14,0,0,0,0,0,0,1,1,6,1,4,973,1,10,6,1
"168873","20114100C0010",1,9,0,9,9,5,0,0,0,0,1,1,6,1,7,-1,-1,-1,-1,-1
"168874","20114100C0010",2,1,0,18,9,8,0,0,0,0,4,1,6,1,4,-1,-1,-1,4,1
"168877","20114100C0014",1,9,0,9,0,2,0,0,0,0,3,1,3,1,7,1997,1,2,9,1
"168878","20114100C0018",1,9,0,7,0,1,0,0,0,0,4,1,6,1,9,2099,1,9,10,1
"168884","20114100C0027",1,9,0,9,0,8,0,0,0,0,1,1,6,1,9,1392,1,12,7,1
"168887","20114100C0032",1,9,0,9,0,6,0,0,0,0,1,1,6,2,7,2000,2,6,7,1
"168888","20114100C0032",2,3,0,13,0,8,0,0,0,0,4,1,6,1,4,125,1,1,8,1
"168891","20114100C0043",1,19,0,9,0,6,0,0,0,0,1,1,6,1,7,1753,2,6,6,1
"168892","20114100C0043",2,9,0,18,0,8,1,0,0,0,4,1,6,2,6,1124,1,9,4,1
"168893","20114100C0044",1,9,0,6,8,1,0,0,0,0,3,1,6,2,6,1984,1,12,5,1
"168894","20114100C0044",2,3,0,18,0,2,0,0,0,0,1,1,1,1,6,124,1,2,3,1
"168895","20114100C0045",1,9,0,9,0,6,0,0,0,0,1,1,6,2,7,1998,1,7,7,1
"168896","20114100C0045",2,9,0,4,0,8,0,0,0,0,2,2,6,2,5,-1,-1,-1,6,1
"168897","20114100C0045",3,9,0,4,0,1,0,0,0,0,1,1,6,1,6,1597,1,2,6,1
"168898","20114100C0079",1,9,0,7,0,6,1,7,0,0,1,1,6,1,6,1196,1,16,-1,-1
"168903","20114100C0086",1,9,0,7,0,6,0,0,0,0,3,1,6,1,6,1596,1,6,6,1
"168904","20114100C0086",2,9,0,18,0,8,1,0,0,0,1,1,6,2,4,1910,2,6,5,1
"168905","20114100C0091",1,9,0,18,0,1,0,0,1,1,1,1,2,1,6,1360,1,9,8,1
"168906","20114100C0091",2,9,0,3,0,1,0,0,0,0,2,1,2,2,6,1360,1,6,-1,-1
"168920","20114100C0117",1,9,0,9,0,5,0,0,0,0,4,1,6,1,8,2261,1,1,9,1
"168921","20114100C0117",2,9,0,9,0,5,0,0,0,0,1,1,6,2,4,1242,1,2,7,1
"168922","20114100C0117",3,9,0,3,0,2,0,0,0,0,3,1,6,1,4,1242,1,6,10,1
"168928","20114100C0120",1,9,0,18,0,8,0,0,0,0,2,1,6,1,7,1996,2,4,4,1
"168929","20114100C0120",2,9,0,9,0,8,0,0,0,0,1,1,6,2,5,1360,1,10,3,1
"168934","20114100C0135",1,9,0,5,0,4,0,0,0,0,0,1,6,1,11,1762,1,12,5,1
"168935","20114100C0135",2,2,0,18,0,8,1,0,0,0,4,1,6,2,5,49,1,3,10,1
"168936","20114100C0137",1,9,0,18,0,0,0,0,0,0,1,1,1,1,6,1598,1,6,4,1
"168937","20114100C0141",1,9,0,5,0,8,0,0,0,0,1,1,6,1,8,-1,-1,-1,3,1
"168942","20114100C0144",1,9,0,7,0,6,0,0,0,0,4,1,6,1,10,2987,2,2,10,1
"168943","20114100C0144",2,1,0,18,0,8,0,0,0,0,1,1,6,1,7,-1,-1,-1,-1,-1
"168944","20114100C0146",1,9,0,16,0,0,1,0,0,0,1,1,6,1,7,998,1,15,9,1
"168945","20114100C0146",2,21,0,17,0,0,0,0,0,0,1,1,1,1,8,4500,2,4,3,1
"168950","20114100C0149",1,9,0,18,0,0,0,0,0,0,1,1,1,1,7,1198,1,2,4,1
"168951","20114100C0149",2,9,0,3,0,0,0,0,0,0,1,1,1,1,6,1596,1,7,6,1
"168955","20114100C0153",1,1,0,5,0,0,0,0,0,0,3,1,4,1,3,-1,-1,-1,3,1
"168956","20114100C0153",2,9,0,18,0,0,0,0,0,0,1,1,3,2,7,1598,1,8,10,1
"168957","20114100C0156",1,9,0,3,0,1,0,0,0,0,1,1,6,1,9,3175,1,9,10,1
"168958","20114100C0156",2,9,0,3,0,1,0,0,0,0,2,1,6,1,9,1398,1,11,9,1
"168959","20114100C0158",1,9,0,6,0,0,0,0,0,0,4,1,6,1,5,1968,2,3,7,1
"168960","20114100C0158",2,90,0,18,0,0,1,0,0,0,1,1,6,1,6,-1,-1,-1,1,1
"168961","20114100C0163",1,9,0,9,0,2,0,0,0,0,3,1,6,1,5,1598,1,7,-1,-1
"168962","20114100C0163",2,2,0,13,0,2,1,0,0,0,4,1,1,1,5,49,1,3,-1,-1
"168963","20114100C0169",1,9,0,18,0,0,2,0,7,9,3,1,6,1,4,1149,1,10,10,2
"168964","20114100C0177",1,8,0,4,0,0,0,0,0,0,2,1,1,1,6,-1,-1,-1,7,1
"168965","20114100C0177",2,1,0,18,0,0,0,0,0,0,1,1,1,1,8,-1,-1,-1,6,1
"168968","20114100C0186",1,9,0,18,0,0,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1
"168972","20114100C0196",1,9,0,17,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
"168975","20114100C0203",1,8,0,4,0,1,0,0,0,0,4,1,1,1,7,2402,2,5,9,1
"168978","20114100C0220",1,9,0,4,0,0,0,0,0,0,4,1,6,2,7,1998,1,5,7,1
"168980","20114100C0226",1,9,0,9,0,6,0,0,0,0,3,1,2,2,8,-1,-1,-1,7,1
"168981","20114100C0226",2,5,0,13,0,8,1,0,0,0,1,1,2,1,6,599,1,2,9,1
"168982","20114100C0227",1,19,0,6,0,1,0,0,0,0,2,1,6,1,5,1753,2,9,-1,-1
"168983","20114100C0227",2,5,0,5,0,1,0,0,0,0,1,1,1,1,8,583,1,19,10,1
"168989","20114100C0249",1,9,0,9,0,6,0,0,0,0,1,1,6,2,9,1596,1,10,-1,-1
"168990","20114100C0249",2,9,0,17,0,8,0,4,1,2,4,1,6,2,4,1299,1,14,-1,-1
"168991","20114100C0249",3,9,0,2,0,2,0,0,0,0,2,1,6,3,-1,1149,1,11,-1,-1
"169000","20114100C0255",1,9,0,16,0,3,0,0,0,0,3,1,1,1,8,3628,2,1,-1,-1
"169001","20114100C0255",2,9,0,16,0,3,0,0,0,0,4,1,6,1,6,1396,1,11,9,1
"169004","20114100C0259",1,11,0,18,0,2,0,0,0,0,0,1,1,1,6,-1,2,11,7,1
"169005","20114100C0260",1,8,0,2,0,0,0,0,0,0,0,1,6,1,-1,1769,1,7,5,1
"169007","20114100C0270",1,9,0,7,0,6,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
"169008","20114100C0272",1,9,0,4,0,1,0,0,0,0,1,1,6,3,5,2494,1,10,-1,-1
"169009","20114100C0272",2,9,0,3,0,1,0,0,0,0,2,1,6,1,6,2494,1,7,9,1
"169017","20114100C0291",1,9,0,18,0,8,0,0,0,0,1,1,6,1,11,1198,1,3,10,1
"169018","20114100C0291",2,9,0,18,0,8,0,0,0,0,2,1,6,1,5,1229,1,6,3,1
"169019","20114100C0294",1,9,0,3,0,1,0,0,0,0,3,1,6,1,9,2290,1,9,7,1
"169020","20114100C0294",2,9,0,7,0,2,0,0,1,10,1,1,6,2,11,1299,1,12,10,1
"169021","20114100C0318",1,9,0,7,0,6,0,0,0,0,0,1,1,1,8,-1,-1,-1,-1,-1
"169022","20114100C0318",2,9,0,18,0,2,0,0,0,0,1,1,1,1,8,1397,1,21,9,1
"169023","20114100C0318",3,9,0,4,0,2,0,0,0,0,2,1,6,2,5,999,1,16,6,1
"169024","20114100C0318",4,9,0,4,0,2,0,0,0,0,2,1,6,1,8,2148,2,9,10,1
"169026","20114100C0323",1,9,0,5,0,0,0,0,0,0,4,1,6,1,-1,-1,-1,-1,-1,-1
"169027","20114100C0324",1,9,0,3,0,0,0,0,0,0,2,1,2,2,8,1997,2,10,4,1
"169028","20114100C0324",2,9,0,3,0,0,0,0,0,0,1,1,2,2,6,1896,2,2,10,1
"169029","20114100C0326",1,9,0,5,0,8,0,0,0,0,1,1,6,1,8,1497,8,4,10,1
"169030","20114100C0326",2,9,0,5,0,8,0,0,0,0,4,1,3,2,6,1248,2,7,6,1
"169035","20114100C0333",1,9,0,5,0,4,0,0,0,0,3,1,6,1,9,-1,-1,-1,10,1
"169036","20114100C0333",2,1,0,18,0,8,0,0,0,0,2,1,2,2,10,-1,-1,-1,10,1
"169037","20114100C0335",1,9,0,18,0,4,0,0,0,0,1,1,6,1,6,1596,1,16,6,1
"169038","20114100C0335",2,9,0,9,0,8,0,0,0,0,4,1,6,1,6,1595,1,5,7,1
"169039","20114100C0336",1,9,0,7,0,6,0,0,0,0,3,1,6,3,7,-1,-1,-1,-1,-1
"169040","20114100C0336",2,9,0,9,0,6,0,0,0,0,4,1,6,2,4,996,1,-1,3,1
"169041","20114100C0348",1,9,0,18,0,0,0,0,0,0,1,1,6,1,11,1596,1,4,-1,-1
"169045","20114100C0364",1,19,0,6,0,0,0,0,0,0,3,1,6,1,8,1868,2,9,4,1
"169046","20114100C0364",2,3,0,18,0,0,0,0,0,0,1,1,1,1,4,102,1,6,5,1
"169047","20114100C0370",1,9,0,5,0,4,0,0,0,0,1,1,6,1,10,1753,2,13,4,1
"169048","20114100C0370",2,1,0,18,0,8,0,0,0,0,4,1,6,1,8,-1,-1,-1,9,1
"169049","20114100C0380",1,8,0,18,0,0,0,0,0,0,3,1,1,1,7,1497,8,4,3,1
"169054","20114100C0388",1,9,0,18,9,0,0,0,0,0,1,1,6,1,6,2993,2,-1,2,1
"169055","20114100C0389",1,1,0,18,0,6,0,0,0,0,4,1,6,1,4,-1,-1,-1,10,1
"169056","20114100C0389",2,9,0,18,0,8,0,0,0,0,1,1,6,1,7,1870,2,5,4,1
"169057","20114100C0390",1,9,0,18,0,0,0,0,0,0,2,1,6,1,8,4163,1,7,9,1
"169058","20114100C0390",2,9,0,18,0,0,1,0,0,0,2,1,6,2,6,2231,2,6,5,1
"169059","20114100C0390",3,9,0,18,0,0,0,0,0,0,1,1,6,2,5,1596,1,2,7,1
"169061","20114100C0394",1,9,0,5,0,6,0,0,0,0,1,1,6,1,7,1794,1,6,8,1
"169062","20114100C0394",2,9,0,17,0,8,0,0,0,0,4,1,6,1,6,1796,1,6,6,1
"169063","20114100C0395",1,9,0,5,0,2,0,0,0,0,4,1,6,2,5,-1,-1,-1,-1,-1
"169065","20114100C0400",1,11,0,5,0,0,0,0,0,0,1,1,1,1,8,-1,-1,-1,-1,-1
"169068","20114100C0405",1,9,0,1,0,6,0,0,0,0,2,1,6,2,6,2926,2,8,-1,-1
"169069","20114100C0405",2,9,0,18,0,1,0,0,0,0,4,1,6,1,6,973,1,9,4,1
"169070","20114100C0409",1,9,0,11,0,3,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
"169071","20114100C0409",2,9,0,17,0,8,0,0,0,0,1,1,1,1,9,-1,-1,-1,7,1
"169072","20114100C0409",3,9,0,17,0,8,0,0,0,0,2,1,1,1,6,1910,2,4,6,1
"169075","20114100C0412",1,90,0,7,0,8,0,0,0,0,4,1,1,1,7,-1,-1,-1,2,1
"169076","20114100C0412",2,8,0,18,0,8,0,0,0,0,1,1,1,1,7,1995,2,4,4,1
"169077","20114100C0414",1,9,0,18,0,0,0,0,1,0,2,1,6,1,6,1753,2,8,3,1
"169078","20114100C0414",2,9,0,7,0,0,0,0,0,0,1,1,6,1,5,1199,1,9,8,1
"169079","20114100C0414",3,9,0,2,6,0,0,0,0,0,1,1,6,2,6,1600,1,7,-1,-1
"169080","20114100C0414",4,9,0,18,0,0,0,0,0,0,0,1,1,1,6,2993,2,2,5,1
"169081","20114100C0416",1,9,0,17,0,8,0,0,0,0,3,1,1,2,6,1598,1,-1,10,1
"169082","20114100C0416",2,9,0,11,0,3,0,0,0,0,4,1,1,1,6,-1,-1,-1,6,1
"169083","20114100C0417",1,9,0,13,0,1,0,0,0,0,4,1,6,1,8,3628,2,4,-1,-1
"169084","20114100C0417",2,1,0,18,0,1,0,0,0,0,2,1,6,1,7,-1,-1,-1,4,1
"169085","20114100C0418",1,9,0,18,0,1,0,0,0,0,1,1,6,1,6,1596,1,5,10,1
"169086","20114100C0418",2,9,0,3,0,1,0,0,0,0,2,1,6,1,8,2204,2,4,8,1
"169087","20114100C0418",3,9,0,3,0,1,0,0,0,0,4,1,6,1,7,1895,1,12,6,1
"169088","20114100C0418",4,9,0,3,0,1,0,0,1,1,2,1,6,1,10,1560,2,5,5,1
"169089","20114100C0418",5,19,0,3,0,1,0,0,0,0,3,1,6,1,8,2179,2,9,5,1
"169090","20114100C0418",6,9,0,4,0,1,0,0,0,0,1,1,6,1,7,1796,1,17,8,1
"169092","20114100C0423",1,9,0,4,0,0,0,7,0,0,1,1,6,1,8,-1,-1,-1,6,1
"169093","20114100C0424",1,9,0,18,0,6,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
"169094","20114100C0424",2,1,0,18,0,8,0,0,0,0,4,1,1,1,6,-1,-1,-1,9,1
"169095","20114100C0425",1,11,0,18,0,6,0,0,0,0,1,1,1,1,7,6370,2,3,3,1
"169096","20114100C0425",2,9,0,18,0,8,0,0,1,0,3,1,2,2,6,1997,2,9,5,1
"169098","20114100C0428",1,9,0,18,0,0,0,0,0,0,1,1,6,2,11,1596,1,3,10,3
"169099","20114100C0428",2,8,0,4,0,0,0,0,0,0,2,1,1,1,5,1769,1,5,5,1
"169102","20114100C0432",1,9,0,18,0,6,0,0,0,0,1,1,6,1,5,1598,1,7,8,1
"169103","20114100C0432",2,1,0,18,0,8,0,0,0,0,4,1,2,2,8,-1,-1,-1,6,1
"169110","20114100C0443",1,2,0,14,0,2,0,0,0,0,1,1,6,1,6,100,1,8,5,1
"169111","20114100C0452",1,9,0,7,0,1,0,0,0,0,4,1,6,1,7,1598,1,4,-1,-1
"169112","20114100C0452",2,1,0,18,4,1,0,0,0,0,3,1,6,2,7,-1,-1,-1,8,1
"169113","20114100C0455",1,9,0,17,0,1,0,0,0,0,4,1,2,2,5,1390,1,10,10,1
"169114","20114100C0455",2,9,0,9,0,6,0,0,0,0,1,1,2,1,-1,-1,-1,-1,-1,-1
"169115","20114100C0456",1,11,0,14,0,2,0,0,0,0,3,1,1,1,9,5900,2,4,3,1
"169116","20114100C0456",2,9,0,3,0,1,0,0,0,0,3,1,3,1,10,1587,1,7,7,3
"169119","20114100C0465",1,9,0,18,0,0,0,0,0,0,3,1,6,1,5,1905,1,21,4,1
"169120","20114100C0465",2,9,0,2,0,0,0,0,0,0,3,1,6,3,-1,1870,2,-1,4,1
"169121","20114100C0468",1,9,0,1,0,0,0,0,0,0,2,1,6,1,-1,1895,1,12,-1,-1
"169122","20114100C0468",2,9,0,2,0,0,0,0,0,0,1,1,6,2,7,1396,1,12,-1,-1
"169127","20114100C0475",1,9,0,7,0,6,0,0,1,0,4,1,6,2,6,1598,1,8,7,1
"169128","20114100C0475",2,1,0,15,0,6,0,0,0,0,3,1,6,1,7,-1,-1,-1,5,1
"169134","20114100C0489",1,1,0,18,9,8,0,0,0,0,1,1,6,2,6,-1,-1,-1,3,1
"169135","20114100C0489",2,9,0,1,9,8,0,0,0,0,2,1,6,1,9,1998,1,10,3,1
"169140","20114100C0504",1,9,0,18,0,2,0,0,0,0,1,1,6,2,5,1124,1,8,8,1
"169141","20114100C0504",2,9,0,18,0,2,0,0,0,0,2,1,6,2,6,1753,2,11,7,1
"169146","20114100C0510",1,8,0,6,0,0,0,0,0,0,3,1,6,1,8,1796,7,8,3,1
"169147","20114100C0510",2,5,0,18,0,0,1,0,0,0,1,1,6,1,6,599,1,2,10,2
"169148","20114100C0513",1,9,0,9,0,6,0,0,0,0,1,1,6,2,-1,1781,1,8,-1,-1
"169149","20114100C0513",2,1,0,18,0,8,0,0,0,0,1,1,6,1,7,-1,-1,-1,9,1
"169150","20114100C0517",1,9,0,18,0,8,0,0,1,2,3,1,6,2,4,1242,1,10,10,1
"169151","20114100C0518",1,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
"169152","20114100C0518",2,9,0,3,0,1,0,0,0,0,2,1,6,1,5,1299,1,9,-1,-1
"169155","20114100C0530",1,9,0,3,0,1,0,0,0,0,2,1,6,1,7,1597,1,16,-1,-1
"169156","20114100C0530",2,9,0,5,0,1,0,0,0,0,1,1,6,1,7,1598,1,5,7,1
"169157","20114100C0533",1,2,0,18,0,1,1,0,0,0,0,1,6,1,4,49,1,6,6,1
"169158","20114100C0536",1,9,0,9,0,6,0,0,0,0,1,1,6,3,6,-1,-1,-1,-1,-1
"169159","20114100C0536",2,9,0,18,0,8,0,0,0,0,4,1,6,1,7,998,1,13,5,1
"169160","20114100C0537",1,9,0,3,0,0,0,0,0,0,4,1,2,2,6,1299,1,14,9,2
"169161","20114100C0537",2,1,0,18,0,0,0,8,0,0,1,1,2,2,4,-1,-1,-1,-1,-1
"169167","20114100C0549",1,9,0,7,0,6,0,0,0,0,1,1,1,2,8,1796,1,13,8,1
"169168","20114100C0549",2,1,0,17,0,8,0,0,0,0,4,1,1,1,7,-1,-1,-1,4,1
"169171","20114100C0551",1,21,0,11,0,8,0,0,0,0,1,1,1,3,7,6871,2,5,-1,-1
"169172","20114100C0551",2,9,0,18,0,8,0,0,0,0,2,1,6,1,6,1956,2,1,5,1
"169176","20114100C0556",1,9,0,9,0,6,0,0,0,0,1,1,6,1,6,1995,1,10,5,1
"169177","20114100C0556",2,9,0,17,0,1,0,0,0,0,1,1,6,1,9,1598,1,10,9,1
"169178","20114100C0559",1,9,0,17,0,0,0,0,0,0,1,1,6,1,6,-1,-1,-1,-1,-1
"169181","20114100C0562",1,1,0,18,0,0,0,0,0,0,1,1,2,1,6,-1,-1,-1,8,1
"169182","20114100C0562",2,9,0,5,0,0,0,0,0,0,4,1,2,1,9,1339,1,4,10,1
"169187","20114100C0568",1,9,0,4,0,2,1,0,0,0,1,1,3,1,6,1242,1,5,4,1
"169188","20114100C0568",2,2,0,4,0,2,0,0,0,0,2,1,1,1,5,49,1,4,6,1
"169196","20114100C0579",1,1,0,18,9,1,0,0,0,0,1,1,6,1,6,-1,-1,-1,5,1
"169197","20114100C0579",2,9,0,7,9,6,0,0,0,0,1,1,2,2,6,1124,1,8,6,1
